SBCode,Sandbox Id,Trigger approved,Initial Approved,Billing Budget History,Cost Budget History,Budget Approval Status
SB22161,8914,TRUE,TRUE,717800.00 ,0.00 ,Approved
SB21911,5082,TRUE,TRUE,4000000.00 ,0.00 ,Approved
SB21386,10532,TRUE,TRUE,400000.00 ,0.00 ,Approved
SB21466,9925,TRUE,TRUE,1000000.00 ,0.00 ,Approved
SB21528,8728,TRUE,TRUE,4417437.00 ,4008442.82 ,Approved
SB21697,8729,TRUE,TRUE,1330560.00 ,1259600.00 ,Approved
SB21700,8730,TRUE,TRUE,401218.40 ,278646.00 ,Approved
SB21703,8731,TRUE,TRUE,3109238.00 ,1723662.63 ,Approved
SB21704,8732,TRUE,TRUE,415514.00 ,377740.00 ,Approved
SB21718,10579,TRUE,TRUE,49063401.00 ,17667663.00 ,Approved
SB21733,8733,TRUE,TRUE,162635.00 ,111886.00 ,Approved
SB21768,10533,TRUE,TRUE,2550462.00 ,1045400.00 ,Approved
SB21770,8734,TRUE,TRUE,2413600.00 ,1855318.54 ,Approved
SB21797,8735,TRUE,TRUE,489783.00 ,209322.00 ,Approved
SB21800,8736,TRUE,TRUE,1933840.00 ,996519.00 ,Approved
SB21804,8737,TRUE,TRUE,11400000.00 ,9594290.80 ,Approved
SB21807,8738,TRUE,TRUE,24389088.00 ,20299475.04 ,Approved
SB21814,8739,TRUE,TRUE,409750.00 ,96922.50 ,Approved
SB21825,10580,TRUE,TRUE,29512410.00 ,18212320.00 ,Approved
SB21829,8740,TRUE,TRUE,2527500.00 ,757425.00 ,Approved
SB21847,8741,TRUE,TRUE,67831.00 ,19749.00 ,Approved
SB21859,8742,TRUE,TRUE,344008695.65 ,285906313.16 ,Approved
SB21861,8743,TRUE,TRUE,43169821.00 ,30543695.48 ,Approved
SB21873,8744,TRUE,TRUE,3297085.00 ,2158341.60 ,Approved
SB21888,8745,TRUE,TRUE,5035200.00 ,4409926.00 ,Approved
SB21911,5082,TRUE,TRUE,6002832.00 ,4416323.00 ,Approved
SB21914,8747,TRUE,TRUE,263375.00 ,188035.00 ,Approved
SB21917,8748,TRUE,TRUE,3174924.93 ,2754926.00 ,Approved
SB21920,8749,TRUE,TRUE,415000.00 ,6500.00 ,Approved
