Internal ID,Sb code,Name,sb name,Updated Project Name
11423,SB21386,SB21386,Accenture  FE Utsava - Carnival Artists,SB21386 Accenture  FE Utsava - Carnival Artists
11461,SB22645,SB22645,"Hul Shiva's Farewell Event,","SB22645 Hul Shiva's Farewell Event,"
11425,SB21768,SB21768,HUL Finomenals 2024,SB21768 HUL Finomenals 2024
11424,SB21718,SB21718,Google YouTube Creator Collective Q3 2024,SB21718 Google YouTube Creator Collective Q3 2024
11426,SB21825,SB21825,Audi 100 K Milestone Celebration Event,SB21825 Audi 100 K Milestone Celebration Event
11623,SB21992,SB21992,Meeting Expenses,SB21992 Meeting Expenses
11428,SB22610,SB22610,Amazon Whiteboard Animation video project,SB22610 Amazon Whiteboard Animation video project
11626,SB22611,SB22611,Bumblebee Fun Activities,SB22611 Bumblebee Fun Activities
11434,SB22617,SB22617,Cognizant NW visit ,SB22617 Cognizant NW visit 
11627,SB22621,SB22621,Towards T-shirts with branding - Partner Kick Off,SB22621 Towards T-shirts with branding - Partner Kick Off
11439,SB22623,SB22623,HPE Zerto Enablement ,SB22623 HPE Zerto Enablement 
11440,SB22624,SB22624,Phone Pe - Converge,SB22624 Phone Pe - Converge
11441,SB22625,SB22625,GBS Finance Offsite ,SB22625 GBS Finance Offsite 
11433,SB22616,SB22616, HDFC Bank Tech Workshop HYD,SB22616  HDFC Bank Tech Workshop HYD
11449,SB22633,SB22633,Cognizant - Client Visit,SB22633 Cognizant - Client Visit
11451,SB22635,SB22635,Amazon BOX Installation,SB22635 Amazon BOX Installation
11438,SB22622,SB22622,Townhall at Microsoft,SB22622 Townhall at Microsoft
11443,SB22627,SB22627,Natwest Nasscom GCC Summit 2025,SB22627 Natwest Nasscom GCC Summit 2025
11436,SB22619,SB22619,Siemens - HR Offiste 2025,SB22619 Siemens - HR Offiste 2025
11448,SB22632,SB22632,"Accenture stall @ NASSCOM GCC Summit,","SB22632 Accenture stall @ NASSCOM GCC Summit,"
11458,SB22642,SB22642,Amazon Townhall event,SB22642 Amazon Townhall event
11462,SB22646,SB22646,Hero Farwell event,SB22646 Hero Farwell event
11427,SB22598,SB22598,KNMA WithIn by Aditi Mangaldas,SB22598 KNMA WithIn by Aditi Mangaldas
11429,SB22612,SB22612,Greenlam GT Launch,SB22612 Greenlam GT Launch
11624,SB22647,SB22647,Indo IFCCI Seminar. ,SB22647 Indo IFCCI Seminar. 
11464,SB22649,SB22649,Cognizant Zumba activity,SB22649 Cognizant Zumba activity
11467,SB22652,SB22652,Amazon collateral design and print,SB22652 Amazon collateral design and print
11430,SB22613,SB22613,VinFast Digital Promotions,SB22613 VinFast Digital Promotions
